etaf, phif, dF
-4.500000, -0.020000, 0.001633
-4.500000, 0.000000, 0.001634
-4.500000, 0.020000, 0.001633
-4.500000, 0.040000, 0.001629
-4.500000, 0.060000, 0.001622
-4.500000, 0.080000, 0.001612
-4.500000, 0.100000, 0.001600
-4.500000, 0.120000, 0.001586
-4.500000, 0.140000, 0.001569
-4.500000, 0.160000, 0.001550
-4.500000, 0.180000, 0.001528
-4.500000, 0.200000, 0.001505
-4.500000, 0.220000, 0.001480
-4.500000, 0.240000, 0.001453
-4.500000, 0.260000, 0.001425
-4.500000, 0.280000, 0.001395
-4.500000, 0.300000, 0.001365
-4.500000, 0.320000, 0.001333
-4.500000, 0.340000, 0.001301
-4.500000, 0.360000, 0.001268
-4.500000, 0.380000, 0.001235
-4.500000, 0.400000, 0.001201
-4.500000, 0.420000, 0.001167
-4.500000, 0.440000, 0.001133
-4.500000, 0.460000, 0.001100
-4.500000, 0.480000, 0.001066
-4.500000, 0.500000, 0.001033
-4.500000, 0.520000, 0.001000
-4.500000, 0.540000, 0.000967
-4.500000, 0.560000, 0.000935
-4.500000, 0.580000, 0.000903
-4.500000, 0.600000, 0.000873
-4.500000, 0.620000, 0.000842
-4.500000, 0.640000, 0.000813
-4.500000, 0.660000, 0.000784
-4.500000, 0.680000, 0.000756
-4.500000, 0.700000, 0.000729
-4.500000, 0.720000, 0.000702
-4.500000, 0.740000, 0.000677
-4.500000, 0.760000, 0.000652
-4.500000, 0.780000, 0.000628
-4.500000, 0.800000, 0.000604
-4.500000, 0.820000, 0.000582
-4.500000, 0.840000, 0.000560
-4.500000, 0.860000, 0.000539
-4.500000, 0.880000, 0.000519
-4.500000, 0.900000, 0.000500
-4.500000, 0.920000, 0.000481
-4.500000, 0.940000, 0.000463
-4.500000, 0.960000, 0.000446
-4.500000, 0.980000, 0.000429
-4.500000, 1.000000, 0.000413
-4.400000, -1.000000, 0.000416
-4.400000, -0.980000, 0.000432
-4.400000, -0.960000, 0.000449
-4.400000, -0.940000, 0.000466
-4.400000, -0.920000, 0.000485
-4.400000, -0.900000, 0.000503
-4.400000, -0.880000, 0.000523
-4.400000, -0.860000, 0.000543
-4.400000, -0.840000, 0.000564
-4.400000, -0.820000, 0.000586
-4.400000, -0.800000, 0.000609
-4.400000, -0.780000, 0.000632
-4.400000, -0.760000, 0.000656
-4.400000, -0.740000, 0.000681
-4.400000, -0.720000, 0.000707
-4.400000, -0.700000, 0.000733
-4.400000, -0.680000, 0.000761
-4.400000, -0.660000, 0.000789
-4.400000, -0.640000, 0.000818
-4.400000, -0.620000, 0.000847
-4.400000, -0.600000, 0.000878
-4.400000, -0.580000, 0.000909
-4.400000, -0.560000, 0.000940
-4.400000, -0.540000, 0.000973
-4.400000, -0.520000, 0.001005
-4.400000, -0.500000, 0.001038
-4.400000, -0.480000, 0.001072
-4.400000, -0.460000, 0.001106
-4.400000, -0.440000, 0.001140
-4.400000, -0.420000, 0.001174
-4.400000, -0.400000, 0.001208
-4.400000, -0.380000, 0.001241
-4.400000, -0.360000, 0.001275
-4.400000, -0.340000, 0.001308
-4.400000, -0.320000, 0.001340
